id;title;description;availability;inventory;condition;price;sale_price;link;image_link;brand;item_group_id;product_type;google_product_category
8,32479E+11;Сыродавленные масла - Долголетие - набор из 4 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;7,120.00 RUB;6,052.00 RUB;https://oilonoil.ru/tproduct/1-254470598901-sirodavlennie-masla-dolgoletie-nabor-iz?editionuid=832479236401;https://static.tildacdn.com/tild6536-6562-4237-b830-663162346538/_4__500__-_2500.jpg;Маслодел — OilOnOil.ru;2,54471E+11;Наборы масла;
4,26931E+11;Сыродавленные масла - Здоровое сердце - набор из 3 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;3,700.00 RUB;3,145.00 RUB;https://oilonoil.ru/tproduct/1-190380345131-sirodavlennie-masla-zdorovoe-serdtse-nab?editionuid=426931160771;https://static.tildacdn.com/tild6230-6164-4565-a332-346539383632/___250__-_2500.jpg;Маслодел — OilOnOil.ru;1,9038E+11;Наборы масла;
5,01651E+11;Сыродавленные масла - Здоровое сердце - набор из 3 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;6,850.00 RUB;5,823.00 RUB;https://oilonoil.ru/tproduct/1-190380345131-sirodavlennie-masla-zdorovoe-serdtse-nab?editionuid=501651476981;https://static.tildacdn.com/tild3030-3565-4865-b063-383166313262/___500__-_2500.jpg;Маслодел — OilOnOil.ru;1,9038E+11;Наборы масла;
9,68855E+11;Конопляное масло холодного отжима - сыродавленное живое масло - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;930.00 RUB;;https://oilonoil.ru/tproduct/1-451827665921-konoplyanoe-maslo?editionuid=968855097351;https://static.tildacdn.com/tild6464-3533-4161-a335-663036633833/DSC_0009.png;Маслодел — OilOnOil.ru;4,51828E+11;Конопляное масло;
4,02264E+11;Конопляное масло холодного отжима - сыродавленное живое масло - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;1,680.00 RUB;;https://oilonoil.ru/tproduct/1-451827665921-konoplyanoe-maslo?editionuid=402263582161;https://static.tildacdn.com/tild3139-6636-4039-b733-303131663932/DSC_0007.png;Маслодел — OilOnOil.ru;4,51828E+11;Конопляное масло;
1,25469E+11;Сыродавленные масла - Ассорти MID - набор из 7 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;6,650.00 RUB;5,653.00 RUB;https://oilonoil.ru/tproduct/1-746821822971-sirodavlennie-masla-assorti-mid-nabor-iz?editionuid=125468537141;https://static.tildacdn.com/tild6363-6165-4736-b064-343861343463/_7__250__-_2500.jpg;Маслодел — OilOnOil.ru;7,46822E+11;Наборы масла;
9,47124E+11;Сыродавленные масла - Ассорти MID - набор из 7 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;12,070.00 RUB;10,260.00 RUB;https://oilonoil.ru/tproduct/1-746821822971-sirodavlennie-masla-assorti-mid-nabor-iz?editionuid=947124212891;https://static.tildacdn.com/tild3061-6233-4263-b066-383939373461/_7__500__-_2500.jpg;Маслодел — OilOnOil.ru;7,46822E+11;Наборы масла;
1,00001E+11;Сыродавленные масла - Ассорти MAX - набор из 8 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;6,980.00 RUB;5,933.00 RUB;https://oilonoil.ru/tproduct/1-244558874281-sirodavlennie-masla-assorti-max-nabor-iz?editionuid=100001403221;https://static.tildacdn.com/tild3739-3030-4630-b865-653536323033/_8__250__-_2500.jpg;Маслодел — OilOnOil.ru;2,44559E+11;Наборы масла;
8,51641E+11;Сыродавленные масла - Ассорти MAX - набор из 8 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;12,570.00 RUB;10,685.00 RUB;https://oilonoil.ru/tproduct/1-244558874281-sirodavlennie-masla-assorti-max-nabor-iz?editionuid=851641298171;https://static.tildacdn.com/tild3634-3866-4964-b638-663132356266/_8__500__-_2500.jpg;Маслодел — OilOnOil.ru;2,44559E+11;Наборы масла;
8,33674E+11;Сыродавленные масла - Для пожилых людей - набор из 3 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;1,900.00 RUB;1,615.00 RUB;https://oilonoil.ru/tproduct/1-372965214071-sirodavlennie-masla-dlya-pozhilih-lyudei?editionuid=833674119251;https://static.tildacdn.com/tild3733-6365-4664-b766-363365343636/___250__-_2500.jpg;Маслодел — OilOnOil.ru;3,72965E+11;Наборы масла;
6,52444E+11;Сыродавленные масла - Для пожилых людей - набор из 3 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;3,370.00 RUB;2,865.00 RUB;https://oilonoil.ru/tproduct/1-372965214071-sirodavlennie-masla-dlya-pozhilih-lyudei?editionuid=652443979261;https://static.tildacdn.com/tild3331-6432-4365-b863-643531333132/___500__-_2500.jpg;Маслодел — OilOnOil.ru;3,72965E+11;Наборы масла;
8,63773E+11;Сыродавленные масла - Для мужчин - набор из 3 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;3,300.00 RUB;2,805.00 RUB;https://oilonoil.ru/tproduct/1-834976891031-sirodavlennie-masla-dlya-muzhchin-nabor?editionuid=863773050111;https://static.tildacdn.com/tild3337-3538-4331-b137-366666363238/__250__-_2500.jpg;Маслодел — OilOnOil.ru;8,34977E+11;Наборы масла;
9,97577E+11;Сыродавленные масла - Для мужчин - набор из 3 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;out of stock;0;new;6,050.00 RUB;5,143.00 RUB;https://oilonoil.ru/tproduct/1-834976891031-sirodavlennie-masla-dlya-muzhchin-nabor?editionuid=997577243141;https://static.tildacdn.com/tild3661-6134-4138-b138-336666653263/__500__-_2500.jpg;Маслодел — OilOnOil.ru;8,34977E+11;Наборы масла;
9,75113E+11;Сыродавленные масла - Для женщин- набор из 3 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;2,250.00 RUB;1,913.00 RUB;https://oilonoil.ru/tproduct/1-309267445291-sirodavlennie-masla-dlya-zhenschin-nabor?editionuid=975113347181;https://static.tildacdn.com/tild3765-3966-4633-a637-393937616463/__250__-_2500.jpg;Маслодел — OilOnOil.ru;3,09267E+11;Наборы масла;
4,37395E+11;Сыродавленные масла - Для женщин- набор из 3 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;4,000.00 RUB;3,400.00 RUB;https://oilonoil.ru/tproduct/1-309267445291-sirodavlennie-masla-dlya-zhenschin-nabor?editionuid=437394725021;https://static.tildacdn.com/tild6233-6165-4735-b238-363131633635/__500__-_2500.jpg;Маслодел — OilOnOil.ru;3,09267E+11;Наборы масла;
5,1487E+11;Сыродавленные масла - Для детей - набор из 3 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;2,400.00 RUB;2,040.00 RUB;https://oilonoil.ru/tproduct/1-999809478131-sirodavlennie-masla-dlya-detei-nabor-iz?editionuid=514869763221;https://static.tildacdn.com/tild6162-3239-4235-a230-646462306531/___3-__250__-_2500.jpg;Маслодел — OilOnOil.ru;9,99809E+11;Наборы масла;
3,85145E+11;Сыродавленные масла - Для детей - набор из 3 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;4,270.00 RUB;3,630.00 RUB;https://oilonoil.ru/tproduct/1-999809478131-sirodavlennie-masla-dlya-detei-nabor-iz?editionuid=385144768541;https://static.tildacdn.com/tild6366-6633-4934-a236-653231373935/___3-__500__-_2500.jpg;Маслодел — OilOnOil.ru;9,99809E+11;Наборы масла;
4,68255E+11;Сыродавленные масла - От холестерина - набор из 2 бутылок - 250 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;1,300.00 RUB;1,105.00 RUB;https://oilonoil.ru/tproduct/1-337750551391-sirodavlennie-masla-ot-holesterina-nabor?editionuid=468254505561;https://static.tildacdn.com/tild6530-6435-4134-b335-303637626134/__250__-_2500.png;Маслодел — OilOnOil.ru;3,37751E+11;Наборы масла;
1,13859E+11;Сыродавленные масла - От холестерина - набор из 2 бутылок - 500 мл;Изготовление под заказ, на гидравлическом прессе в дубовой бочке - живое масло.;in stock;999;new;2,250.00 RUB;1,912.00 RUB;https://oilonoil.ru/tproduct/1-337750551391-sirodavlennie-masla-ot-holesterina-nabor?editionuid=113859049331;https://static.tildacdn.com/tild6336-3732-4538-a336-353135343934/__500__-_2500.png;Маслодел — OilOnOil.ru;3,37751E+11;Наборы масла;
